Doklad;"Datum vystavení";"Datum splatnosti";"Datum úhrady";"Spoleènost dodavatele";"IÈO dodavatele";"DIÈ dodavatele";"Ulice dodavatele";"Mìsto dodavatele";"PSÈ dodavatele";"Zemì dodavatele";Štítek;"Položky poèet";"Položky MJ";"Položky text";"Položky cena";"Položky %DPH";"Položky typ DPH";"ID èíselné øady";"ID pøedkontace";"ID èlenìní DPH";"Variabilní Symbol";"Konstantní Symbol";"Specifický Symbol";"Výpoèet DPH";Mìna;"Celkem bez DPH";"Celkem s DPH";Zaokrouhlení;"Celkem k úhradì"
N20250081;11.12.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;1690.00;21;2;269732;;0;;;;2;CZK;1396.69;1690.00;0.00;1690.00
N20250082;22.12.2025;;;"Shell Czech Republic a.s.";15890554;CZ15890554;"Antala Staška 2027/77";Praha;14000;"Èeská republika";;1;ks;;457.20;21;2;269732;;0;;;;2;CZK;377.85;457.20;0.00;457.20
N20250083;24.12.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1406.80;21;2;269732;;0;;;;2;CZK;1162.64;1406.80;0.00;1406.80
N20250084;29.12.2025;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;"Položka z telefonu";1351.30;21;2;269732;;0;;;;2;CZK;1116.78;1351.30;0.00;1351.30
N20250085;30.12.2025;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;334.00;21;2;269732;;0;;;;2;CZK;276.03;334.00;0.00;334.00
N20260001;02.01.2026;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;648.10;21;2;269732;;0;;;;2;CZK;535.62;648.10;0.00;648.10
N20260002;06.01.2026;;;"Automyèka Express s.r.o.";28165098;CZ28165098;"námìstí Republiky 656/8";Praha;11000;"Èeská republika";;1;ks;;2595.00;21;2;269732;;0;;;;2;CZK;2144.63;2595.00;0.00;2595.00
N20260003;07.01.2026;;;"TÜV NORD Czech, s.r.o.";45242330;CZ45242330;"Èeskomoravská 2420/15";Praha;19000;"Èeská republika";;1;ks;;1200.00;21;2;269732;;0;;;;2;CZK;991.74;1200.00;0.00;1200.00
N20260004;07.01.2026;;;"TÜV NORD Czech, s.r.o.";45242330;CZ45242330;"Èeskomoravská 2420/15";Praha;19000;"Èeská republika";;1;ks;emise;1000.00;21;2;269732;;0;;;;2;CZK;826.45;1000.00;0.00;1000.00
N20260005;13.01.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;157.51;21;2;269732;;0;;;;2;CZK;130.17;157.51;0.00;157.51
N20260006;09.01.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1416.80;21;2;269732;;0;;;;2;CZK;1170.91;1416.80;0.00;1416.80
N20260007;13.01.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;526.54;21;2;269732;;0;;;;2;CZK;435.16;526.54;0.00;526.54
N20260008;18.01.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;855.00;21;2;269732;;0;;;;2;CZK;706.61;855.00;0.00;855.00
N20260009;17.01.2026;;;"HP TRONIC Zlín, spol. s r.o.";49973053;CZ49973053;"námìstí Práce 2523";Zlín;76001;"Èeská republika";;1;ks;;488.00;21;2;269732;;0;;;;2;CZK;403.31;488.00;0.00;488.00
N20260010;21.01.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;199.00;21;2;269732;;0;;;;2;CZK;164.46;199.00;0.00;199.00
N20260011;23.01.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;"benzin orlen";724.90;21;2;269732;;0;;;;2;CZK;599.09;724.90;0.00;724.90
N20260012;30.01.2026;;;"Tank ONO, s.r.o.";48365289;CZ48365289;"Domažlická 674/160";Plzeò;31800;"Èeská republika";;1;ks;;1286.10;21;2;269732;;0;;;;2;CZK;1062.89;1286.10;0.00;1286.10
N20260013;31.01.2026;;;"HP TRONIC Zlín, spol. s r.o.";49973053;CZ49973053;"námìstí Práce 2523";Zlín;76001;"Èeská republika";;1;ks;;1958.00;21;2;269732;;0;;;;2;CZK;1618.18;1958.00;0.00;1958.00
N20260014;01.01.2026;;;"Daktela s.r.o.";27232263;CZ27232263;"Vinohradská 2828/151";Praha;13000;"Èeská republika";;1;ks;pronájem;1815.00;21;2;269732;;0;;;;2;CZK;1500.00;1815.00;0.00;1815.00
N20260015;05.02.2026;;;"ORLEN Unipetrol RPA s.r.o.";27597075;CZ699000139;"Záluží 1";Litvínov;43601;"Èeská republika";;1;ks;;1341.40;21;2;269732;;0;;;;2;CZK;1108.60;1341.40;0.00;1341.40
N20260016;09.02.2026;;;"Alza.cz a.s.";27082440;CZ27082440;"Jankovcova 1522/53";Praha;17000;"Èeská republika";;1;ks;;290.12;21;2;269732;;0;;;;2;CZK;239.77;290.12;0.00;290.12
